devstage,region,max_pathlength,crosssection
0hAPF,DV,80.79870487749645,Along_DV
0hAPF,outDV,64.81134506621422,Across_DV
120hAEL,DV,44.24579795670029,Along_DV
120hAEL,outDV,41.386468301385975,Across_DV
2hAPF,DV,91.27539682823053,Along_DV
2hAPF,outDV,72.64350570262374,Across_DV
4hAPF,DV,100.03609151743368,Along_DV
4hAPF,outDV,78.37272224712399,Across_DV
6hAPF,DV,199.04820607886722,Along_DV
6hAPF,outDV,105.39817545870507,Across_DV
96hAEL,DV,41.63376258032763,Along_DV
96hAEL,outDV,39.74474603581062,Across_DV
wL3,DV,60.87647196327633,Along_DV
wL3,outDV,58.65769628945678,Across_DV
