disc,arclength,x,y,curvature,devstage,genotype,crosssection
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-136.31447387012676,69.87102983693823,-85.03665936727634,0.01650154405309067,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-131.12614537118438,71.92619739429182,-80.29467531078335,0.016716184499942315,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-125.937816872242,73.54775157257973,-75.44717090412597,0.017425355557587986,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-120.74948837329961,74.72116083746145,-70.5272025256621,0.018287557113893616,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-115.56115987435723,75.43188428015158,-65.55620997401833,0.018971945730429256,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-110.37283137541485,75.66728969407545,-60.54885229273551,0.019218264270251126,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-105.18450287647246,75.41857165152446,-55.517843594913536,0.018913700649028448,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-99.99617437753008,74.68266958031161,-50.47878888785697,0.01813074306843313,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-94.8078458785877,73.46417363979937,-45.45499183635068,0.017098735611965125,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-89.61951737964532,71.77668150048459,-40.48099960746513,0.016104595791471773,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-84.43118888070293,69.64223629599591,-35.60173442360636,0.015342561267409939,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-79.24286038176055,67.0897336521544,-30.86925399909656,0.014908227631038903,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-74.05453188281817,64.15326522403947,-26.339365945554274,0.014832277523238393,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-68.86620338387578,60.870462229575416,-22.06824216927096,0.015101309232375976,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-63.6778748849334,57.2808389831176,-18.109033268587563,0.015660697915034154,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-58.48954638599102,53.424136429038626,-14.508482931271017,0.01640131412704591,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-53.30121788704864,49.338665675314765,-11.30354233189087,0.017137030477937375,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-48.112889388106254,45.05965156537855,-8.517984635122877,0.017588975372955288,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-42.92456088916387,40.61765073050358,-6.159225672428949,0.01747596064604748,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-37.73623239022149,36.03785796626905,-4.217603634125721,0.016694307194097122,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-32.547903891279105,31.340739593236783,-2.6693320544243724,0.015296450165736213,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-27.359575392336723,26.54296576858078,-1.480280337916395,0.013459293617110273,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-22.17124689339434,21.658346932185736,-0.6097657308941052,0.011423615498685214,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-16.982918394451957,16.69877025274553,-0.014345292671136621,0.009431995067169852,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-11.794589895509574,11.67513607386156,0.3483921330970708,0.007692369556728494,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-6.6062613965671915,6.598294360141322,0.5160339470927714,0.006370957283203432,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,-1.4179328976248087,1.4799811432967684,0.5175518230154186,0.005604041828358643,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,3.770395601317574,-3.6662472101004018,0.3695220422250392,0.0054995153474115595,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,8.958724100259957,-8.82423163746621,0.07320398387350188,0.006008039418101525,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,14.14705259920234,-13.975090858582888,-0.384636851343384,0.007007932822228329,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,19.335381098144723,-19.097538803018658,-1.0284373913679234,0.008389063519417839,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,24.523709597087105,-24.168237911719803,-1.8903428814769763,0.010039687185567433,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,29.712038096029488,-29.16215245498857,-3.0067126804106925,0.011830487727653098,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,34.90036659497187,-34.05290185046113,-4.414626056501263,0.013603219301194902,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,40.088695093914254,-38.81311398108548,-6.148387983801662,0.01517295211210143,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,45.27702359285664,-43.41477851309943,-8.236034938214386,0.016351777444184843,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,50.46535209179902,-47.82959999633897,-10.695861604016258,0.017010689797041376,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,55.6536805907414,-52.029342013859406,-13.533807427143786,0.017200366108921877,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,60.842009089683785,-55.986141560056055,-16.74370316425707,0.017051736157872286,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,66.03033758862617,-59.672808153528386,-20.308983886945512,0.016705055569344325,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,71.21866608756855,-63.06312207157456,-24.204486366404648,0.016288134784071037,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,76.40699458651093,-66.13213258466241,-28.398246460370554,0.015902877695250426,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,81.59532308545332,-68.85645619090056,-32.853296500054256,0.015620412067794943,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,86.7836515843957,-71.21457485050935,-37.529462677076125,0.015481389082945128,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,91.97198008333808,-73.18713422029197,-42.38516243040027,0.015497385074803357,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,97.16030858228046,-74.75723462409478,-47.37918061830436,0.015652338506487975,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,102.34863708122285,-75.91053083915894,-52.47188732606435,0.015921603732822486,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,107.53696558016523,-76.63484285730893,-57.62502744727005,0.016292682845787276,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,112.72529407910761,-76.91957252755464,-62.80094333054388,0.01676560549850056,wL3,ecadGFPnbG4myoVI,Across_DV
20200717_ecadGFPnbG4myoVI_upcrawling_disc1,117.91362257805,-76.75511264122419,-67.96177535423145,0.017350556479445535,wL3,ecadGFPnbG4myoVI,Across_DV
