genotype,devstage,arclength,x,y,x_sd,y_sd,x_sem,y_sem,curvature,curvature_sd,curvature_sem,crosssection
ecadGFPnbG4myoVI,wL3,-136.31447387012676,55.30578694756947,-89.54680741325204,9.422823186497704,2.550787767559151,4.214014636994008,1.1407469688874388,0.012610865294419496,0.02013613232145981,0.009005152134942957,Across_DV
ecadGFPnbG4myoVI,wL3,-131.12614537118438,58.50577074316489,-85.65214419695644,8.664995446027188,3.10166595605504,3.87510376840858,1.387107184247189,0.018993045635762353,0.008847985421404286,0.003956939373237421,Across_DV
ecadGFPnbG4myoVI,wL3,-125.937816872242,61.3258472278373,-81.4655736183261,7.791789489043752,3.5696260814520553,3.4845941927740363,1.5963853144765994,0.021466423703463106,0.002873366790972541,0.001285008693781006,Across_DV
ecadGFPnbG4myoVI,wL3,-120.74948837329961,63.67512952460618,-76.98291701084597,6.908175708732737,3.924748741343061,3.0894300970478374,1.7552009960499646,0.022208082387765875,0.004124266791914979,0.0018444281808133744,Across_DV
ecadGFPnbG4myoVI,wL3,-115.56115987435723,65.50352403974418,-72.24581770049096,6.075369736659244,4.15232148537767,2.716987943923013,1.8569746211474738,0.022103937515804212,0.005450278792770877,0.002437438775392234,Across_DV
ecadGFPnbG4myoVI,wL3,-110.37283137541485,66.78660396922649,-67.31676786121258,5.317931283365161,4.260644678685959,2.378251169855439,1.9054182259029107,0.021502932036898653,0.00507400442737611,0.0022691637635495754,Across_DV
ecadGFPnbG4myoVI,wL3,-105.18450287647246,67.51763281594272,-62.264276913679524,4.637572359614365,4.276981974478251,2.073985409334364,1.912724486694928,0.02074179885113126,0.003983123118401327,0.001781306811099262,Across_DV
ecadGFPnbG4myoVI,wL3,-99.99617437753008,67.70198433245551,-57.15496487729082,4.025630471618879,4.237246466972716,1.80031667736687,1.8949542275143623,0.020086464020829302,0.003049720791529304,0.0013638766004507976,Across_DV
ecadGFPnbG4myoVI,wL3,-94.8078458785877,67.35196794696611,-52.047478898480826,3.4724647572526215,4.173175192898764,1.5529334493378335,1.8663006826674868,0.019533378783022897,0.002523146598187308,0.0011283854621488335,Across_DV
ecadGFPnbG4myoVI,wL3,-89.61951737964532,66.48413451891618,-46.99072571142989,2.971795526193659,4.104632185383704,1.3290273623597557,1.8356473178302959,0.01895446544674701,0.0022785795583734696,0.0010190117569329057,Across_DV
ecadGFPnbG4myoVI,wL3,-84.43118888070293,65.11913732815326,-42.02637448030349,2.5203782832140456,4.039582484136042,1.1271474340561645,1.806556207049131,0.01829011264418117,0.0021399484696993914,0.0009570140493188976,Across_DV
ecadGFPnbG4myoVI,wL3,-79.24286038176055,63.28186775204807,-37.191728352832186,2.1163586812148116,3.9762930745330993,0.9464643751936251,1.7782523226235294,0.0175597316578024,0.0019602288643379645,0.0008766409984233804,Across_DV
ecadGFPnbG4myoVI,wL3,-74.05453188281817,61.001478125109756,-32.52237714483947,1.7577776735768529,3.9059194064367477,0.7861020734898557,1.7467802614856394,0.016852000726813508,0.0016877563440431881,0.0007547875829474181,Across_DV
ecadGFPnbG4myoVI,wL3,-68.86620338387578,58.3107490734978,-28.053683915414204,1.441935212034736,3.815613787912865,0.6448530306520485,1.7063943611317263,0.016276550667579985,0.001388204905968888,0.0006208241072890275,Across_DV
ecadGFPnbG4myoVI,wL3,-63.6778748849334,55.2448075845957,-23.821012894742033,1.1659476772002095,3.691718762996044,0.5214276528855301,1.650986821574118,0.01591680091189951,0.0011864984985076243,0.0005306182595728961,Across_DV
ecadGFPnbG4myoVI,wL3,-58.48954638599102,51.839878396429995,-19.859339929933885,0.9280105545577568,3.522499216315345,0.4150189367656843,1.5753095396741694,0.01578550364013297,0.0012101083220763871,0.0005411768936602022,Across_DV
ecadGFPnbG4myoVI,wL3,-53.30121788704864,48.13235408066936,-16.20179694887718,0.7286328295137233,3.2998550605867893,0.3258545074861401,1.4757400462737496,0.015835517762743223,0.001426193315379784,0.0006378130404489986,Across_DV
ecadGFPnbG4myoVI,wL3,-48.112889388106254,44.15802350681418,-12.877678302339532,0.5714100025401734,3.020574314026926,0.255542321740631,1.3508418994508007,0.01597243373219879,0.0016380087764524796,0.0007325397943778002,Across_DV
ecadGFPnbG4myoVI,wL3,-42.92456088916387,39.9513242650125,-9.910457544743988,0.46200819517294583,2.6875911281130827,0.2066163461137394,1.2019272916372397,0.016073628755977187,0.001670534676913394,0.0007470858192697994,Across_DV
ecadGFPnbG4myoVI,wL3,-37.73623239022149,35.54477280754794,-7.316298206827653,0.4023180898254156,2.310671744073135,0.17992211948549916,1.0333638186871053,0.01603009370116799,0.001448964891594829,0.0006479967989233302,Across_DV
ecadGFPnbG4myoVI,wL3,-32.547903891279105,30.96868728541538,-5.103489090601902,0.38131990784422465,1.9061671954171948,0.17053144702272832,0.8524638850865947,0.015784263957600495,0.0010852881127282616,0.00048535559904656954,Across_DV
ecadGFPnbG4myoVI,wL3,-27.359575392336723,26.251221241107054,-3.27292404500666,0.37652162279707785,1.495814125367317,0.1683855887145601,0.6689484132051426,0.015338718951784236,0.0010925860441085128,0.0004886193331788436,Across_DV
ecadGFPnbG4myoVI,wL3,-22.17124689339434,21.418619278719007,-1.8193107280033534,0.3666257787849526,1.1048294056044623,0.16396003273339085,0.49409473089445294,0.014743767782729855,0.0017603287851175019,0.0007872429652544708,Across_DV
ecadGFPnbG4myoVI,wL3,-16.982918394451957,16.495371599714982,-0.732710545236498,0.33827050885252724,0.7602169775330951,0.15127917051553905,0.3399793678826862,0.014063643590826017,0.002654588765855716,0.0011871681865521307,Across_DV
ecadGFPnbG4myoVI,wL3,-11.794589895509574,11.50433297288879,-0.00014858606479738467,0.28539954184495103,0.48950945969661824,0.12763455526252124,0.21891528550216638,0.013359866381489855,0.003493627231347526,0.0015623975954674903,Across_DV
ecadGFPnbG4myoVI,wL3,-6.6062613965671915,6.466841232589227,0.39277551008096234,0.20752898512362714,0.31900304266012475,0.09280978360759456,0.14266249768346084,0.012687536939664124,0.004120049626447026,0.001842542207081633,Across_DV
ecadGFPnbG4myoVI,wL3,-1.4179328976248087,1.402835776945049,0.46027668734001165,0.10962911048498558,0.2615139389718299,0.049027628671452536,0.11695258892094862,0.012101151027601708,0.0044204843237103915,0.001976900688257724,Across_DV
ecadGFPnbG4myoVI,wL3,3.770395601317574,-3.669022051006646,0.21477675140536076,0.03413828919900428,0.303384099889719,0.015267107056904082,0.1356774941291996,0.011658996047992743,0.004326767163730578,0.001934989100183107,Across_DV
ecadGFPnbG4myoVI,wL3,8.958724100259957,-8.731097278059197,-0.3344840820573214,0.1300073861245895,0.4434225653936397,0.05814107059032901,0.19830459979550483,0.011391005472469195,0.0039061977696500105,0.0017469047492990977,Across_DV
ecadGFPnbG4myoVI,wL3,14.14705259920234,-13.765956674252845,-1.1818788595634073,0.23286372502835875,0.6868732859628498,0.10413982373144585,0.30717907186831683,0.011315697136889966,0.0032940401146881867,0.0014731395234107978,Across_DV
ecadGFPnbG4myoVI,wL3,19.335381098144723,-18.75516643885738,-2.3251948454260383,0.31365199801266724,1.020733561302252,0.14026943776699058,0.4564859259974568,0.011452811786599137,0.002622001028364654,0.001172594507299544,Across_DV
ecadGFPnbG4myoVI,wL3,24.523709597087105,-23.678058877649455,-3.765382694598332,0.366584485777137,1.4222642758279709,0.1639415659388966,0.6360559205441707,0.011817936148367781,0.002014998805817153,0.0009011348608776106,Across_DV
ecadGFPnbG4myoVI,wL3,29.712038096029488,-28.51049906602638,-5.50630560186328,0.4012448317888376,1.8659700611493912,0.17944214390006186,0.8344871801418956,0.012423439420010124,0.001579641762642563,0.0007064372722732717,Across_DV
ecadGFPnbG4myoVI,wL3,34.90036659497187,-33.22365151504949,-7.554488447762912,0.4493615453257972,2.3263334139603216,0.20096059236456706,1.0403679303888873,0.013284124325530205,0.0013458916830238398,0.0006019010587185811,Across_DV
ecadGFPnbG4myoVI,wL3,40.088695093914254,-37.78277303015821,-9.918850201169317,0.5531951782710093,2.779713219869172,0.24739640468781826,1.2431255435164574,0.014408122358285836,0.001277447323329696,0.0005712918105280707,Across_DV
ecadGFPnbG4myoVI,wL3,45.27702359285664,-42.14676039423485,-12.609927312668336,0.7291029993146082,3.2060644235658584,0.3260647738132893,1.4337955982673876,0.015716247110186408,0.0015291695188087968,0.0006838653986354226,Across_DV
ecadGFPnbG4myoVI,wL3,50.46535209179902,-46.26983294286628,-15.637412093644434,0.9608958696983859,3.590158878439212,0.42972569678887423,1.6055678604428965,0.017082112015929202,0.0022247774159093853,0.0009949507073559415,Across_DV
ecadGFPnbG4myoVI,wL3,55.6536805907414,-50.10417462455512,-19.00689764526004,1.2257733181129136,3.9223232417799005,0.5481824928611898,1.75411627966944,0.01836022958225226,0.003119885906415561,0.0013952553937577482,Across_DV
ecadGFPnbG4myoVI,wL3,60.842009089683785,-53.60261780363828,-22.71712018220515,1.5106088006496132,4.198601917169305,0.6755647931323927,1.8776718594503015,0.019353645707702677,0.003748133179531598,0.0016762161156310153,Across_DV
ecadGFPnbG4myoVI,wL3,66.03033758862617,-56.72132401773689,-26.75749458175157,1.8164829799346134,4.420547273467796,0.8123558846210364,1.9769288402450687,0.01985948298781818,0.00362762414146902,0.0016223228354288084,Across_DV
