,stage,stage_name,prop,value
0,0,wL3 to 0hAPF,lambda_isotropic_coeffs,[-0.12536333  1.19815406]
1,1,wL3 to 2hAPF,lambda_isotropic_coeffs,[-0.29702119  1.41002289]
2,2,wL3 to 4hAPF,lambda_isotropic_coeffs,[-0.27918239  1.43242885]
3,0,wL3 to 0hAPF,inDV_lambda_isotropic_coeffs,[-0.11088804  1.18302581]
4,1,wL3 to 2hAPF,inDV_lambda_isotropic_coeffs,[-0.10943282  1.15575677]
5,2,wL3 to 4hAPF,inDV_lambda_isotropic_coeffs,[-0.06107883  1.38717955]
6,0,wL3 to 0hAPF,lambda_Q_coeffs,[-0.07661543  1.00033837]
7,1,wL3 to 2hAPF,lambda_Q_coeffs,[-0.03758283  0.95543081]
8,2,wL3 to 4hAPF,lambda_Q_coeffs,[-0.0485437   0.98414338]
9,0,wL3 to 0hAPF,inDV_lambda_Q_coeffs,[-0.04618968  1.07040239]
10,1,wL3 to 2hAPF,inDV_lambda_Q_coeffs,[-0.07077685  1.10230737]
11,2,wL3 to 4hAPF,inDV_lambda_Q_coeffs,[-0.06931     0.99459924]
12,0,wL3 to 0hAPF,lambda_rearrangement_coeffs,[0.0578045  1.03799039]
13,1,wL3 to 2hAPF,lambda_rearrangement_coeffs,[0.17140183 1.02207739]
14,2,wL3 to 4hAPF,lambda_rearrangement_coeffs,[0.19174773 1.05368613]
15,0,wL3 to 0hAPF,inDV_lambda_rearrangement_coeffs,[-0.16358571  1.11379917]
16,1,wL3 to 2hAPF,inDV_lambda_rearrangement_coeffs,[-0.17084077  1.26588258]
17,2,wL3 to 4hAPF,inDV_lambda_rearrangement_coeffs,[-0.33801003  1.33804963]
18,0,wL3 to 0hAPF,lambda_anisotropic_coeffs,[-0.00442872 -0.02170203  1.03834162]
19,1,wL3 to 2hAPF,lambda_anisotropic_coeffs,[-0.00644177  0.12535003  0.97652423]
20,2,wL3 to 4hAPF,lambda_anisotropic_coeffs,[-0.00930815  0.13755743  1.03697823]
21,0,wL3 to 0hAPF,inDV_lambda_anisotropic_coeffs,[ 0.00755597 -0.22654857  1.19221329]
22,1,wL3 to 2hAPF,inDV_lambda_anisotropic_coeffs,[ 0.01209157 -0.27791423  1.39539169]
23,2,wL3 to 4hAPF,inDV_lambda_anisotropic_coeffs,[ 0.02342747 -0.42892474  1.33082315]
24,0,wL3 to 0hAPF,lambda_height_coeffs,[0.19483583 0.93507561]
25,1,wL3 to 2hAPF,lambda_height_coeffs,[0.32800156 0.77609786]
26,2,wL3 to 4hAPF,lambda_height_coeffs,[0.36552607 0.70714808]
27,0,wL3 to 0hAPF,inDV_lambda_height_coeffs,[0.11723595 0.83287207]
28,1,wL3 to 2hAPF,inDV_lambda_height_coeffs,[0.10641486 0.67977639]
29,2,wL3 to 4hAPF,inDV_lambda_height_coeffs,[0.01568163 0.59956356]
